
s15/15_0401* 557 608 __ __ FN
s15/15_0401* 2854 2871 __ __ FN
s15/15_0401* __ __ 528 590 FP
s15/15_0402* 2155 2163 __ __ FN
s15/15_0402* 3363 3383 __ __ FN
s15/15_0402* 3380 3407 __ __ FN
s15/15_0402* 3738 3822 __ __ FN
s15/15_0402* 3761 3779 __ __ FN
s15/15_0402* __ __ 3334 3396 FP
s15/15_0101* 1195 1266 1188 1250 TP
s15/15_0101* __ __ 223 285 FP
s15/15_0101* __ __ 508 723 FP
s15/15_0101* __ __ 1596 1658 FP
s15/15_0101* __ __ 1947 2009 FP
s15/15_0102* 396 430 __ __ FN
s15/15_0102* 407 435 __ __ FN
s15/15_0102* 781 802 __ __ FN
s15/15_0102* __ __ -20 42 FP
s15/15_0502* 178 190 __ __ FN
s15/15_0502* 2203 2227 __ __ FN
s15/15_0502* __ __ -29 33 FP
s15/15_0502* __ __ 671 733 FP
s15/15_0502* __ __ 1566 1628 FP
s15/15_0502* __ __ 2181 2243 FP
s15/15_0503* 2457 2510 2472 2534 TP
s15/15_0503* __ __ -14 48 FP
s15/15_0503* __ __ 2410 2472 FP
s15/15_0505* 1403 1436 1403 1465 TP
s15/15_0505* __ __ 357 419 FP
s15/15_0505* __ __ 455 517 FP
s15/15_0505* __ __ 919 981 FP
s16/16_0401* 554 617 __ __ FN
s16/16_0401* 1656 1700 __ __ FN
s16/16_0401* 1741 1780 1742 1804 TP
s16/16_0401* 3580 3599 __ __ FN
s16/16_0401* __ __ 528 590 FP
s16/16_0401* __ __ 3535 3597 FP
s16/16_0402* 415 457 __ __ FN
s16/16_0402* 1382 1416 __ __ FN
s16/16_0402* 1540 1577 __ __ FN
s16/16_0402* 1865 1911 __ __ FN
s16/16_0402* 2149 2210 2161 2223 TP
s16/16_0402* 2712 2752 __ __ FN
s16/16_0402* 2905 2937 __ __ FN
s16/16_0402* 3409 3461 __ __ FN
s16/16_0402* 3932 3943 __ __ FN
s16/16_0402* __ __ -14 48 FP
s16/16_0402* __ __ 377 439 FP
s16/16_0402* __ __ 901 963 FP
s16/16_0402* __ __ 1343 1405 FP
s16/16_0402* __ __ 2864 2926 FP
s16/16_0402* __ __ 3376 3438 FP
s16/16_0402* __ __ 3953 4015 FP
s16/16_0402* __ __ 4234 4296 FP
s16/16_0101* 167 199 140 202 TP
s16/16_0101* 333 346 __ __ FN
s16/16_0101* 697 725 __ __ FN
